"id","location","home_latit","home_longi","home_ancho","far_latitu","far_longit","far_anchor","riggable","home_lat_l","far_lat_lo","line_id","state","xsRail","xsRoad","xsTrail","length","fs_land","blm_land"
48,"fruit bowl",38.53484,-109.945807,"bolts",38.534971,-109.946126,"bolts",1,"NULL","NULL",48,"Utah","NULL","NULL","NULL",31.3766019972499,0,0
49,"fruit bowl",38.534991,-109.94605,"bolts",38.534907,-109.94581,"bolts",1,"NULL","NULL",49,"Utah","NULL","NULL","NULL",22.9024753752742,0,0
50,"fruit bowl",38.531658,-109.943191,"bolts",38.530667,-109.954642,"bolts",1,"NULL","NULL",50,"Utah","NULL","NULL","NULL",1004.21570486862,0,1
51,"veggie bowl",38.53163,-109.943115,"bolts",38.52775,-109.943557,"bolts",1,"NULL","NULL",51,"Utah","NULL","NULL","NULL",432.298469875454,0,1
52,"veggie bowl",38.527882,-109.942003,"bolts",38.527717,-109.943553,"bolts",1,"NULL","NULL",52,"Utah","NULL","NULL","NULL",136.353915931285,0,1
53,"veggie bowl",38.527741,-109.94227,"bolts",38.527533,-109.942916,"bolts",1,"NULL","NULL",53,"Utah","NULL","NULL","NULL",60.8612434288423,0,1
54,"veggie bowl",38.528403,-109.939102,"bolts",38.527411,-109.941546,"bolts",1,"NULL","NULL",54,"Utah","NULL","NULL","NULL",239.812348660884,0,1
55,"veggie bowl",38.528205,-109.93904,"bolts",38.527152,-109.941242,"bolts",1,"NULL","NULL",55,"Utah","NULL","NULL","NULL",224.727463612967,0,1
56,"veggie bowl",38.528015,-109.939008,"bolts",38.527023,-109.941041,"bolts",1,"NULL","NULL",56,"Utah","NULL","NULL","NULL",208.632264486856,0,1
57,"veggie bowl",38.527707,-109.93905,"bolts",38.526921,-109.940387,"bolts",1,"NULL","NULL",57,"Utah","NULL","NULL","NULL",145.576723152903,0,1
58,"veggie bowl",38.527481,-109.939056,"bolts",38.526867,-109.940293,"bolts",1,"NULL","NULL",58,"Utah","NULL","NULL","NULL",127.558094462788,0,1
59,"veggie bowl",38.527146,-109.939155,"bolts",38.52675,-109.939805,"bolts",1,"NULL","NULL",59,"Utah","NULL","NULL","NULL",71.707487407273,0,1
60,"veggie bowl",38.527047,-109.939151,"bolts",38.526733,-109.939697,"bolts",1,"NULL","NULL",60,"Utah","NULL","NULL","NULL",58.9892700274671,0,1
61,"squamish",49.68608,-123.1387,"bolts",49.68595,-123.13823,"bolts",1,"NULL","NULL",61,"Not in any state","NULL","NULL","NULL",37.201466664157,0,0
62,"blue lake",40.08808,-105.62162,"bolts",40.08879,-105.62194,"bolts",1,"NULL","NULL",62,"Colorado","NULL","NULL","NULL",83.6085327025204,1,0
63,"blue lake",40.08699,-105.61895,"unknown",40.08583,-105.6189,"unknown",0,"NULL","NULL",63,"Colorado","NULL","NULL","NULL",129.155289838195,1,0
64,"blue lake",40.08588,-105.6231,"unknown",40.08639,-105.62144,"unknown",0,"NULL","NULL",64,"Colorado","NULL","NULL","NULL",152.814782491648,1,0
65,"blue lake",40.08874,-105.6082,"unknown",40.0879,-105.60734,"unknown",0,"NULL","NULL",65,"Colorado","NULL","NULL","NULL",118.915309599046,1,0
66,"blue lake",40.09184,-105.60245,"unknown",40.08999,-105.60201,"unknown",0,"NULL","NULL",66,"Colorado","NULL","NULL","NULL",209.27759892479,1,0
67,"blue lake",40.08841,-105.59666,"unknown",40.08613,-105.59582,"unknown",0,"NULL","NULL",67,"Colorado","NULL","NULL","y",263.686533679525,1,0
68,"blue lake",40.08229,-105.56164,"unknown",40.07861,-105.5604,"unknown",0,"NULL","NULL",68,"Colorado","NULL","1","NULL",423.028571174918,1,0
69,"tunnel 6",39.74134,-105.41313,"bolts",39.74172,-105.41157,"bolts",1,"NULL","NULL",69,"Colorado","NULL","NULL","NULL",140.553704797486,0,0
70,"stoked bowl",39.74237,-105.40995,"tree",39.74183,-105.4102,"bolts",1,"NULL","NULL",70,"Colorado","NULL","NULL","NULL",63.8248325469627,0,0
71,"stoked bowl",39.74229,-105.41016,"unknown",39.74186,-105.4104,"unknown",1,"NULL","NULL",71,"Colorado","NULL","NULL","NULL",52.1122580219486,0,0
72,"stoked bowl",39.74228,-105.41023,"unknown",39.74195,-105.41044,"unknown",1,"NULL","NULL",72,"Colorado","NULL","NULL","NULL",40.9215320842736,0,0
73,"stoked bowl",39.74236,-105.41051,"unknown",39.74212,-105.41063,"unknown",1,"NULL","NULL",73,"Colorado","NULL","NULL","NULL",28.63264962757,0,0
74,"stoked bowl",39.7427,-105.41122,"unknown",39.74296,-105.41001,"unknown",0,"NULL","NULL",74,"Colorado","NULL","NULL","NULL",107.916958412562,0,0
75,"stoked bowl",39.74142,-105.41092,"unknown",39.74135,-105.41031,"unknown",0,"NULL","NULL",75,"Colorado","NULL","NULL","NULL",52.9889756765763,0,0
76,"red rocks canyon",38.58871,-105.25214,"bolts",38.5883,-105.25277,"bolts",1,"NULL","NULL",76,"Colorado","NULL","NULL","NULL",71.495920594398,0,1
77,"red rocks canyon",38.58859,-105.25205,"bolts",38.58812,-105.25267,"bolts",1,"NULL","NULL",77,"Colorado","NULL","NULL","NULL",75.3022244748924,0,1
78,"sniffanies",40.440758,-105.343929,"bolts",40.440851,-105.343667,"bolts",1,"NULL","NULL",78,"Colorado","NULL","NULL","NULL",24.5701037214497,1,0
79,"sniffanies",40.440679,-105.344003,"bolts",40.441218,-105.344469,"bolts",1,"NULL","NULL",79,"Colorado","NULL","NULL","NULL",71.9062041996069,1,0
80,"paradise",37.60524,-107.82968,"unknown",37.60598,-107.82832,"unknown",1,"NULL","NULL",80,"Colorado","NULL","NULL","NULL",145.571144914489,1,0
81,"paradise",37.60547,-107.82987,"unknown",37.60611,-107.82865,"unknown",1,"NULL","NULL",81,"Colorado","NULL","NULL","NULL",129.110584148189,1,0
82,"paradise",37.60572,-107.82985,"unknown",37.60618,-107.8288,"unknown",1,"NULL","NULL",82,"Colorado","NULL","NULL","NULL",105.90284796527,1,0
83,"paradise",37.6059,-107.82977,"unknown",37.60624,-107.82898,"unknown",1,"NULL","NULL",83,"Colorado","NULL","NULL","NULL",79.3548934978051,1,0
84,"paradise",37.606,-107.82971,"unknown",37.60624,-107.82906,"unknown",1,"NULL","NULL",84,"Colorado","NULL","NULL","NULL",63.3109210507009,1,0
85,"unknown",39.743679,-105.410312,"unknown",39.742663,-105.409231,"unknown",0,"NULL","NULL",85,"Colorado","NULL","NULL","NULL",146.334810237405,0,0
86,"unknown",39.934677,-105.408929,"unknown",39.930334,-105.411368,"unknown",0,"NULL","NULL",86,"Colorado","1","NULL","NULL",526.621897982386,1,0
87,"unknown",39.743412,-105.408536,"unknown",39.742039,-105.407265,"unknown",0,"NULL","NULL",87,"Colorado","NULL","1","NULL",187.824880120098,0,0
88,"unknown",38.538566,-109.908772,"unknown",38.537062,-109.90733,"unknown",0,"NULL","NULL",88,"Utah","NULL","1","NULL",208.937655066766,0,1
89,"unknown",38.773917,-105.336133,"unknown",38.771696,-105.336305,"unknown",0,"NULL","NULL",89,"Colorado","NULL","NULL","NULL",247.646763103878,0,0
90,"unknown",40.693402,-105.380748,"unknown",40.694664,-105.378593,"unknown",1,"NULL","NULL",90,"Colorado","NULL","NULL","NULL",230.36715499624,1,0
91,"unknown",40.694111,-105.380842,"unknown",40.693402,-105.380774,"unknown",1,"NULL","NULL",91,"Colorado","NULL","NULL","NULL",79.1301727181877,1,0
93,"unknown",40.693421,-105.380791,"unknown",40.694852,-105.378988,"unknown",1,"NULL","NULL",92,"Colorado","NULL","NULL","NULL",220.697240624681,1,0
94,"unknown",40.693391,-105.380821,"unknown",40.695667,-105.374813,"unknown",1,"NULL","NULL",93,"Colorado","NULL","NULL","NULL",568.581641162672,1,0
95,"unknown",40.693209,-105.370281,"unknown",40.691596,-105.372135,"unknown",0,"NULL","NULL",94,"Colorado","NULL","1","NULL",238.563748361232,1,0
96,"unknown",40.691362,-105.38137,"unknown",40.691271,-105.376804,"unknown",0,"NULL","NULL",95,"Colorado","NULL","1","NULL",386.998577670483,1,0
97,"unknown",40.689137,-105.368959,"unknown",40.68941,-105.374761,"unknown",0,"NULL","NULL",96,"Colorado","NULL","1","NULL",492.546173828088,1,0
98,"unknown",40.692793,-105.377061,"unknown",40.695745,-105.379001,"unknown",0,"NULL","NULL",97,"Colorado","NULL","1","NULL",367.409152809509,1,0
101,"unknown",38.53349,-109.941571,"unknown",38.530321,-109.945347,"unknown",0,"NULL","NULL",98,"Utah","NULL","NULL","NULL",481.678799317731,0,1
102,"unknown",38.529623,-109.947767,"unknown",38.526131,-109.946874,"unknown",0,"NULL","NULL",99,"Utah","NULL","NULL","NULL",395.261373680367,0,1
103,"unknown",38.525755,-109.934242,"unknown",38.522747,-109.933624,"unknown",0,"NULL","NULL",100,"Utah","NULL","1","NULL",338.129025927122,0,1
104,"unknown",38.529999,-109.926621,"unknown",38.527098,-109.92312,"unknown",0,"NULL","NULL",101,"Utah","NULL","1","NULL",443.604563723358,0,1
105,"unknown",40.110432,-105.336718,"unknown",40.109618,-105.335851,"unknown",0,"NULL","NULL",102,"Colorado","NULL","NULL","NULL",117.049147928461,1,0
106,"unknown",40.106982,-105.334105,"unknown",40.109253,-105.331788,"unknown",0,"NULL","NULL",103,"Colorado","NULL","1","NULL",321.122072865772,1,0
107,"unknown",40.10712,-105.327788,"unknown",40.104822,-105.327188,"unknown",0,"NULL","NULL",104,"Colorado","NULL","1","NULL",260.885357288257,1,0
108,"unknown",40.103736,-105.335037,"unknown",40.104418,-105.331707,"unknown",0,"NULL","NULL",105,"Colorado","NULL","NULL","NULL",294.581557596789,1,0
109,"unknown",40.109685,-105.335677,"unknown",40.10914,-105.335128,"unknown",0,"NULL","NULL",106,"Colorado","NULL","NULL","NULL",76.693343701894,1,0
110,"unknown",40.115781,-105.327514,"unknown",40.115689,-105.324133,"unknown",1,"NULL","NULL",107,"Colorado","NULL","NULL","y",289.125111933889,1,0
111,"unknown",40.115388,-105.327977,"unknown",40.115204,-105.323772,"unknown",1,"NULL","NULL",108,"Colorado","NULL","NULL","y",359.949055897928,1,0
112,"unknown",40.114354,-105.321907,"unknown",40.111072,-105.321804,"unknown",0,"NULL","NULL",109,"Colorado","NULL","NULL","NULL",365.434501704313,1,0
113,"unknown",39.939034,-105.386359,"unknown",39.938771,-105.387285,"unknown",0,"NULL","NULL",110,"Colorado","NULL","NULL","NULL",84.5658667498205,1,0
114,"unknown",39.937218,-105.386873,"unknown",39.936402,-105.386942,"unknown",0,"NULL","NULL",111,"Colorado","NULL","NULL","y",91.0160212283268,1,0
115,"unknown",39.931722,-105.416896,"unknown",39.93059,-105.41566,"unknown",0,"NULL","NULL",112,"Colorado","1","NULL","NULL",164.591121180788,1,0
116,"unknown",39.932051,-105.400406,"unknown",39.929419,-105.398484,"unknown",0,"NULL","NULL",113,"Colorado","NULL","NULL","NULL",336.067274735324,1,0
117,"unknown",39.931788,-105.415308,"unknown",39.930656,-105.417231,"unknown",0,"NULL","NULL",114,"Colorado","NULL","NULL","NULL",207.422057501812,1,0
118,"unknown",40.007413,-105.407479,"unknown",40.007334,-105.408097,"unknown",0,"NULL","NULL",115,"Colorado","NULL","NULL","NULL",53.6206039648636,1,0
119,"unknown",39.743897,-105.40754,"unknown",39.742392,-105.40682,"unknown",0,"NULL","NULL",116,"Colorado","NULL","1","NULL",178.564350791801,0,0
120,"unknown",39.742075,-105.412312,"unknown",39.741521,-105.41214,"unknown",0,"NULL","NULL",117,"Colorado","NULL","NULL","NULL",63.4059427852245,0,0
121,"unknown",39.742419,-105.410002,"unknown",39.741442,-105.408714,"unknown",0,"NULL","NULL",118,"Colorado","NULL","1","NULL",155.150573833636,0,0
122,"unknown",38.769476,-105.335932,"unknown",38.773304,-105.334834,"unknown",1,"NULL","NULL",119,"Colorado","NULL","NULL","NULL",436.658026084839,0,0
123,"unknown",38.772849,-105.332053,"unknown",38.770868,-105.332259,"unknown",1,"NULL","NULL",120,"Colorado","NULL","NULL","NULL",221.211674086677,0,0
124,"unknown",38.772876,-105.33171,"unknown",38.770842,-105.332088,"unknown",1,"NULL","NULL",121,"Colorado","NULL","NULL","NULL",228.764387928905,0,0
125,"unknown",38.770547,-105.338438,"unknown",38.768834,-105.339125,"unknown",0,"NULL","NULL",122,"Colorado","NULL","1","NULL",199.829034123018,0,0
126,"unknown",38.770333,-105.331916,"unknown",38.769048,-105.330989,"unknown",0,"NULL","NULL",123,"Colorado","NULL","NULL","NULL",164.250673608197,0,0
127,"unknown",38.770306,-105.332706,"unknown",38.768781,-105.333118,"unknown",0,"NULL","NULL",124,"Colorado","NULL","NULL","NULL",173.484779758864,0,0
128,"unknown",38.768941,-105.332019,"unknown",38.770413,-105.332397,"unknown",0,"NULL","NULL",125,"Colorado","NULL","NULL","NULL",167.1091613413,0,0
129,"unknown",38.628143,-105.22012,"unknown",38.628947,-105.218576,"unknown",1,"NULL","NULL",126,"Colorado","NULL","NULL","NULL",161.814136654737,0,1
130,"unknown",38.636725,-105.212843,"unknown",38.636725,-105.209788,"unknown",0,"NULL","NULL",127,"Colorado","NULL","1","NULL",266.717588311622,0,1
131,"unknown",38.629189,-105.220567,"unknown",38.63053,-105.21988,"unknown",0,"NULL","NULL",128,"Colorado","NULL","1","NULL",160.868851250026,0,1
132,"unknown",38.62943,-105.217443,"unknown",38.630369,-105.217683,"unknown",0,"NULL","NULL",129,"Colorado","NULL","NULL","NULL",106.600711751862,0,1
133,"unknown",38.627794,-105.221734,"unknown",38.628733,-105.221459,"unknown",0,"NULL","NULL",130,"Colorado","NULL","NULL","NULL",107.242947402506,0,1
134,"unknown",39.998955,-105.411408,"unknown",39.998494,-105.410876,"unknown",0,"NULL","NULL",131,"Colorado","NULL","NULL","NULL",68.6044956805999,1,0
135,"unknown",39.999119,-105.41454,"unknown",39.998626,-105.411657,"unknown",0,"NULL","NULL",132,"Colorado","NULL","1","NULL",252.812665909912,1,0
136,"unknown",39.999119,-105.414566,"unknown",39.999073,-105.410884,"unknown",0,"NULL","NULL",133,"Colorado","NULL","1","NULL",315.221460022713,1,0
137,"unknown",38.818763,-104.895546,"unknown",38.818308,-104.895958,"unknown",1,"NULL","NULL",134,"Colorado","NULL","NULL","NULL",62.0894306663612,1,0
138,"unknown",38.819991,-104.895735,"unknown",38.81846,-104.897409,"unknown",1,"NULL","NULL",135,"Colorado","NULL","NULL","NULL",224.340299932012,1,0
139,"unknown",38.818559,-104.89824,"unknown",38.821113,-104.896249,"unknown",1,"NULL","NULL",136,"Colorado","NULL","NULL","NULL",333.106903447408,1,0
140,"unknown",38.817596,-104.897369,"unknown",38.816485,-104.895447,"unknown",0,"NULL","NULL",137,"Colorado","NULL","1","y",208.180535807327,1,0
141,"unknown",38.819227,-104.894984,"unknown",38.820685,-104.895756,"unknown",0,"NULL","NULL",138,"Colorado","NULL","NULL","NULL",175.728554559833,1,0
142,"unknown",38.820859,-104.895292,"unknown",38.819361,-104.894572,"unknown",0,"NULL","NULL",139,"Colorado","NULL","NULL","NULL",178.20743973372,1,0
143,"unknown",38.81797,-104.899618,"unknown",38.817047,-104.897987,"unknown",0,"NULL","NULL",140,"Colorado","NULL","NULL","NULL",175.359248734595,1,0
144,"unknown",38.842743,-104.894754,"unknown",38.841165,-104.892214,"unknown",0,"NULL","NULL",141,"Colorado","NULL","NULL","y",282.493868085735,0,0
145,"unknown",38.845992,-104.912245,"unknown",38.846179,-104.909671,"unknown",0,"NULL","NULL",142,"Colorado","NULL","NULL","NULL",225.103682107415,0,0
146,"unknown",40.10326,-105.298173,"unknown",40.099714,-105.298705,"unknown",0,"NULL","NULL",143,"Colorado","NULL","NULL","NULL",397.335048218088,0,0
147,"unknown",40.111006,-105.298379,"unknown",40.107343,-105.298104,"unknown",0,"NULL","NULL",144,"Colorado","NULL","NULL","NULL",408.425189178048,0,0
148,"unknown",40.08125,-105.297506,"unknown",40.084901,-105.297643,"unknown",0,"NULL","NULL",145,"Colorado","NULL","NULL","NULL",406.580637173708,0,0
149,"unknown",40.084297,-105.298132,"unknown",40.082196,-105.298132,"unknown",0,"NULL","NULL",146,"Colorado","NULL","NULL","NULL",233.873138593094,0,0
150,"unknown",40.083325,-105.29899,"unknown",40.083273,-105.296587,"unknown",0,"NULL","NULL",147,"Colorado","NULL","NULL","NULL",205.548303437955,0,0
151,"unknown",40.082747,-105.296519,"unknown",40.082747,-105.299299,"unknown",0,"NULL","NULL",148,"Colorado","NULL","NULL","NULL",237.703799929397,0,0
152,"unknown",40.065119,-105.298217,"unknown",40.062255,-105.298561,"unknown",0,"NULL","NULL",149,"Colorado","NULL","1","y",320.16074071298,0,0
153,"unknown",40.062281,-105.29911,"unknown",40.065093,-105.298767,"unknown",0,"NULL","NULL",150,"Colorado","NULL","1","y",314.389138995439,0,0
