"id","location","home_latitude","home_longitude","home_anchor_type","far_latitude","far_longitude","far_anchor_type","riggable","home_lat_long","far_lat_long"
26,"property",40.16765,-105.40282,"",40.16907,-105.40276,"",0,NA,NA
27,"vicksburg",38.99626,-106.35055,"tree",38.99626,-106.35072,"natural",1,NA,NA
28,"fruit bowl",38.537808,-109.942228,"bolts",38.539883,-109.938014,"bolts",1,NA,NA
29,"fruit bowl",38.537119,-109.946008,"bolts",38.53523,-109.948128,"bolts",1,NA,NA
30,"fruit bowl",38.535186,-109.948136,"bolts",38.533188,-109.947188,"bolts",1,NA,NA
31,"fruit bowl",38.535066,-109.947866,"bolts",38.53325,-109.947182,"bolts",1,NA,NA
32,"fruit bowl",38.535036,-109.947751,"bolts",38.533411,-109.94709,"bolts",1,NA,NA
33,"fruit bowl",38.534791,-109.947248,"bolts",38.533422,-109.947079,"bolts",1,NA,NA
34,"fruit bowl",38.534833,-109.947066,"bolts",38.533465,-109.94698,"bolts",1,NA,NA
35,"fruit bowl",38.534738,-109.94696,"bolts",38.533503,-109.946893,"bolts",1,NA,NA
36,"fruit bowl",38.534676,-109.946917,"bolts",38.533566,-109.946731,"bolts",1,NA,NA
37,"fruit bowl",38.534664,-109.946734,"bolts",38.533648,-109.946535,"bolts",1,NA,NA
38,"fruit bowl",38.534631,-109.946638,"bolts",38.53366,-109.946409,"bolts",1,NA,NA
39,"fruit bowl",38.533768,-109.945729,"bolts",38.533583,-109.946057,"bolts",1,NA,NA
40,"fruit bowl",38.534223,-109.946025,"bolts",38.534604,-109.94657,"bolts",1,NA,NA
41,"fruit bowl",38.534354,-109.945992,"bolts",38.534598,-109.946447,"bolts",1,NA,NA
42,"fruit bowl",38.534431,-109.945945,"bolts",38.534598,-109.946447,"bolts",1,NA,NA
43,"fruit bowl",38.534582,-109.945887,"bolts",38.53489,-109.946301,"bolts",1,NA,NA
44,"fruit bowl",38.534659,-109.945861,"bolts",38.53488,-109.946255,"bolts",1,NA,NA
45,"fruit bowl",38.534748,-109.945814,"bolts",38.53489,-109.946236,"bolts",1,NA,NA
46,"fruit bowl",38.534757,-109.945801,"bolts",38.534891,-109.946236,"bolts",1,NA,NA
47,"fruit bowl",38.534773,-109.945809,"bolts",38.534953,-109.946175,"bolts",1,NA,NA
48,"fruit bowl",38.53484,-109.945807,"bolts",38.534971,-109.946126,"bolts",1,NA,NA
49,"fruit bowl",38.534991,-109.94605,"bolts",38.534907,-109.94581,"bolts",1,NA,NA
50,"fruit bowl",38.531658,-109.943191,"bolts",38.530667,-109.954642,"bolts",1,NA,NA
51,"veggie bowl",38.53163,-109.943115,"bolts",38.52775,-109.943557,"bolts",1,NA,NA
52,"veggie bowl",38.527882,-109.942003,"bolts",38.527717,-109.943553,"bolts",1,NA,NA
53,"veggie bowl",38.527741,-109.94227,"bolts",38.527533,-109.942916,"bolts",1,NA,NA
54,"veggie bowl",38.528403,-109.939102,"bolts",38.527411,-109.941546,"bolts",1,NA,NA
55,"veggie bowl",38.528205,-109.93904,"bolts",38.527152,-109.941242,"bolts",1,NA,NA
56,"veggie bowl",38.528015,-109.939008,"bolts",38.527023,-109.941041,"bolts",1,NA,NA
57,"veggie bowl",38.527707,-109.93905,"bolts",38.526921,-109.940387,"bolts",1,NA,NA
58,"veggie bowl",38.527481,-109.939056,"bolts",38.526867,-109.940293,"bolts",1,NA,NA
59,"veggie bowl",38.527146,-109.939155,"bolts",38.52675,-109.939805,"bolts",1,NA,NA
60,"veggie bowl",38.527047,-109.939151,"bolts",38.526733,-109.939697,"bolts",1,NA,NA
61,"squamish",49.68608,-123.1387,"bolts",49.68595,-123.13823,"bolts",1,NA,NA
62,"blue lake",40.08808,-105.62162,"bolts",40.08879,-105.62194,"bolts",1,NA,NA
63,"blue lake",40.08699,-105.61895,"unknown",40.08583,-105.6189,"unknown",0,NA,NA
64,"blue lake",40.08588,-105.6231,"unknown",40.08639,-105.62144,"unknown",0,NA,NA
65,"blue lake",40.08874,-105.6082,"unknown",40.0879,-105.60734,"unknown",0,NA,NA
66,"blue lake",40.09184,-105.60245,"unknown",40.08999,-105.60201,"unknown",0,NA,NA
67,"blue lake",40.08841,-105.59666,"unknown",40.08613,-105.59582,"unknown",0,NA,NA
68,"blue lake",40.08229,-105.56164,"unknown",40.07861,-105.5604,"unknown",0,NA,NA
69,"tunnel 6",39.74134,-105.41313,"bolts",39.74172,-105.41157,"bolts",1,NA,NA
70,"stoked bowl",39.74237,-105.40995,"tree",39.74183,-105.4102,"bolts",1,NA,NA
71,"stoked bowl",39.74229,-105.41016,"unknown",39.74186,-105.4104,"unknown",1,NA,NA
72,"stoked bowl",39.74228,-105.41023,"unknown",39.74195,-105.41044,"unknown",1,NA,NA
73,"stoked bowl",39.74236,-105.41051,"unknown",39.74212,-105.41063,"unknown",1,NA,NA
74,"stoked bowl",39.7427,-105.41122,"unknown",39.74296,-105.41001,"unknown",0,NA,NA
75,"stoked bowl",39.74142,-105.41092,"unknown",39.74135,-105.41031,"unknown",0,NA,NA
76,"red rocks canyon",38.58871,-105.25214,"bolts",38.5883,-105.25277,"bolts",1,NA,NA
77,"red rocks canyon",38.58859,-105.25205,"bolts",38.58812,-105.25267,"bolts",1,NA,NA
78,"sniffanies",40.440758,-105.343929,"bolts",40.440851,-105.343667,"bolts",1,NA,NA
79,"sniffanies",40.440679,-105.344003,"bolts",40.441218,-105.344469,"bolts",1,NA,NA
80,"paradise",37.60524,-107.82968,"unknown",37.60598,-107.82832,"unknown",1,NA,NA
81,"paradise",37.60547,-107.82987,"unknown",37.60611,-107.82865,"unknown",1,NA,NA
82,"paradise",37.60572,-107.82985,"unknown",37.60618,-107.8288,"unknown",1,NA,NA
83,"paradise",37.6059,-107.82977,"unknown",37.60624,-107.82898,"unknown",1,NA,NA
84,"paradise",37.606,-107.82971,"unknown",37.60624,-107.82906,"unknown",1,NA,NA
85,"unknown",39.743679,-105.410312,"unknown",39.742663,-105.409231,"unknown",0,NA,NA
86,"unknown",39.934677,-105.408929,"unknown",39.930334,-105.411368,"unknown",0,NA,NA
87,"unknown",39.743412,-105.408536,"unknown",39.742039,-105.407265,"unknown",0,NA,NA
88,"unknown",38.538566,-109.908772,"unknown",38.537062,-109.90733,"unknown",0,NA,NA
89,"unknown",38.773917,-105.336133,"unknown",38.771696,-105.336305,"unknown",0,NA,NA
90,"unknown",40.693402,-105.380748,"unknown",40.694664,-105.378593,"unknown",1,NA,NA
91,"unknown",40.694111,-105.380842,"unknown",40.693402,-105.380774,"unknown",1,NA,NA
93,"unknown",40.693421,-105.380791,"unknown",40.694852,-105.378988,"unknown",1,NA,NA
94,"unknown",40.693391,-105.380821,"unknown",40.695667,-105.374813,"unknown",1,NA,NA
95,"unknown",40.693209,-105.370281,"unknown",40.691596,-105.372135,"unknown",0,NA,NA
96,"unknown",40.691362,-105.38137,"unknown",40.691271,-105.376804,"unknown",0,NA,NA
97,"unknown",40.689137,-105.368959,"unknown",40.68941,-105.374761,"unknown",0,NA,NA
98,"unknown",40.692793,-105.377061,"unknown",40.695745,-105.379001,"unknown",0,NA,NA
101,"unknown",38.53349,-109.941571,"unknown",38.530321,-109.945347,"unknown",0,NA,NA
102,"unknown",38.529623,-109.947767,"unknown",38.526131,-109.946874,"unknown",0,NA,NA
103,"unknown",38.525755,-109.934242,"unknown",38.522747,-109.933624,"unknown",0,NA,NA
104,"unknown",38.529999,-109.926621,"unknown",38.527098,-109.92312,"unknown",0,NA,NA
105,"unknown",40.110432,-105.336718,"unknown",40.109618,-105.335851,"unknown",0,NA,NA
106,"unknown",40.106982,-105.334105,"unknown",40.109253,-105.331788,"unknown",0,NA,NA
107,"unknown",40.10712,-105.327788,"unknown",40.104822,-105.327188,"unknown",0,NA,NA
108,"unknown",40.103736,-105.335037,"unknown",40.104418,-105.331707,"unknown",0,NA,NA
109,"unknown",40.109685,-105.335677,"unknown",40.10914,-105.335128,"unknown",0,NA,NA
110,"unknown",40.115781,-105.327514,"unknown",40.115689,-105.324133,"unknown",1,NA,NA
111,"unknown",40.115388,-105.327977,"unknown",40.115204,-105.323772,"unknown",1,NA,NA
112,"unknown",40.114354,-105.321907,"unknown",40.111072,-105.321804,"unknown",0,NA,NA
113,"unknown",39.939034,-105.386359,"unknown",39.938771,-105.387285,"unknown",0,NA,NA
114,"unknown",39.937218,-105.386873,"unknown",39.936402,-105.386942,"unknown",0,NA,NA
115,"unknown",39.931722,-105.416896,"unknown",39.93059,-105.41566,"unknown",0,NA,NA
116,"unknown",39.932051,-105.400406,"unknown",39.929419,-105.398484,"unknown",0,NA,NA
117,"unknown",39.931788,-105.415308,"unknown",39.930656,-105.417231,"unknown",0,NA,NA
118,"unknown",40.007413,-105.407479,"unknown",40.007334,-105.408097,"unknown",0,NA,NA
119,"unknown",39.743897,-105.40754,"unknown",39.742392,-105.40682,"unknown",0,NA,NA
120,"unknown",39.742075,-105.412312,"unknown",39.741521,-105.41214,"unknown",0,NA,NA
121,"unknown",39.742419,-105.410002,"unknown",39.741442,-105.408714,"unknown",0,NA,NA
122,"unknown",38.769476,-105.335932,"unknown",38.773304,-105.334834,"unknown",1,NA,NA
123,"unknown",38.772849,-105.332053,"unknown",38.770868,-105.332259,"unknown",1,NA,NA
124,"unknown",38.772876,-105.33171,"unknown",38.770842,-105.332088,"unknown",1,NA,NA
125,"unknown",38.770547,-105.338438,"unknown",38.768834,-105.339125,"unknown",0,NA,NA
126,"unknown",38.770333,-105.331916,"unknown",38.769048,-105.330989,"unknown",0,NA,NA
127,"unknown",38.770306,-105.332706,"unknown",38.768781,-105.333118,"unknown",0,NA,NA
128,"unknown",38.768941,-105.332019,"unknown",38.770413,-105.332397,"unknown",0,NA,NA
129,"unknown",38.628143,-105.22012,"unknown",38.628947,-105.218576,"unknown",1,NA,NA
130,"unknown",38.636725,-105.212843,"unknown",38.636725,-105.209788,"unknown",0,NA,NA
131,"unknown",38.629189,-105.220567,"unknown",38.63053,-105.21988,"unknown",0,NA,NA
132,"unknown",38.62943,-105.217443,"unknown",38.630369,-105.217683,"unknown",0,NA,NA
133,"unknown",38.627794,-105.221734,"unknown",38.628733,-105.221459,"unknown",0,NA,NA
134,"unknown",39.998955,-105.411408,"unknown",39.998494,-105.410876,"unknown",0,NA,NA
135,"unknown",39.999119,-105.41454,"unknown",39.998626,-105.411657,"unknown",0,NA,NA
136,"unknown",39.999119,-105.414566,"unknown",39.999073,-105.410884,"unknown",0,NA,NA
137,"unknown",38.818763,-104.895546,"unknown",38.818308,-104.895958,"unknown",1,NA,NA
138,"unknown",38.819991,-104.895735,"unknown",38.81846,-104.897409,"unknown",1,NA,NA
139,"unknown",38.818559,-104.89824,"unknown",38.821113,-104.896249,"unknown",1,NA,NA
140,"unknown",38.817596,-104.897369,"unknown",38.816485,-104.895447,"unknown",0,NA,NA
141,"unknown",38.819227,-104.894984,"unknown",38.820685,-104.895756,"unknown",0,NA,NA
142,"unknown",38.820859,-104.895292,"unknown",38.819361,-104.894572,"unknown",0,NA,NA
143,"unknown",38.81797,-104.899618,"unknown",38.817047,-104.897987,"unknown",0,NA,NA
144,"unknown",38.842743,-104.894754,"unknown",38.841165,-104.892214,"unknown",0,NA,NA
145,"unknown",38.845992,-104.912245,"unknown",38.846179,-104.909671,"unknown",0,NA,NA
146,"unknown",40.10326,-105.298173,"unknown",40.099714,-105.298705,"unknown",0,NA,NA
147,"unknown",40.111006,-105.298379,"unknown",40.107343,-105.298104,"unknown",0,NA,NA
148,"unknown",40.08125,-105.297506,"unknown",40.084901,-105.297643,"unknown",0,NA,NA
149,"unknown",40.084297,-105.298132,"unknown",40.082196,-105.298132,"unknown",0,NA,NA
150,"unknown",40.083325,-105.29899,"unknown",40.083273,-105.296587,"unknown",0,NA,NA
151,"unknown",40.082747,-105.296519,"unknown",40.082747,-105.299299,"unknown",0,NA,NA
152,"unknown",40.065119,-105.298217,"unknown",40.062255,-105.298561,"unknown",0,NA,NA
153,"unknown",40.062281,-105.29911,"unknown",40.065093,-105.298767,"unknown",0,NA,NA
154,"unknown",38.371136,-109.518636,"unknown",38.352615,-109.513144,"unknown",1,NA,NA
155,"unknown",38.363915,-109.521173,"unknown",38.357912,-109.518874,"unknown",0,NA,NA
156,"unknown",38.363464,-109.519551,"unknown",38.362899,-109.518109,"unknown",0,NA,NA
